Year,Teams,Matches,Goals,Top Scorer,Top scorer goals,# of venues,Attendance,Lowest Attendance,Highest Attendance,Dates,Host,Alpha-2 code,Alpha-3 code,Latitude,Longitude,Population,Winners,Alpha-2 code winners,Runners Up,Alpha-2 code runners,Third,Alpha-2 code third,Fourth
1930,13,18,70,Guillermo Stabile,8,3,434500,300,24139,13 July _ 30 July,Uruguay,UY,URY,-33,-56,3395253,Uruguay,UY,Argentina,AR,United states,US,Yugoslovakia
1934,16,17,70,Oldrich Nejedly,5,8,358000,8000,21059,27 May _ 10 June,Italy,IT,ITA,42.8333,12.8333,60917978,Italy,IT,Czechoslovakia,CS,Germany,DE,Austria
1938,15,18,84,Leonidas,7,10,483000,6846,26833,4 June _ 19 June,France,FR,FRA,46,2,65696689,Italy,IT,Hungary,HR,Brazil,BR,Sweden
1950,15,22,88,Ademir,9,6,1043500,4000,47432,24 June _ 16 July,Brazil,BR,BRA,-10,-55,198656019,Uruguay,UY,Brazil,BR,Sweden,SE,Spain
1954,16,26,140,Sandor Kocsis,11,6,889500,3000,34212,16 June _ 4 July,Switzerland,CH,CHE,47,8,7997152,West Germany,DE,Hungary,HR,Austria,AT,Uruguay
1958,16,35,126,Just Fontaine,13,12,919580,6196,26274,8 _ 29 June,Sweden,SE,SWE,62,15,9516617,Brazil,BR,Sweden,SE,France,FR,West Germany
1962,16,32,89,Florian Albert,4,4,899074,5700,28096,30 May _ 17 June,Chile,CL,CHL,-30,-71,17464814,Brazil,BR,Czechoslovakia,CS,Chile,CL,Yugoslavia
1966,16,32,89,Eusebio,9,8,1635000,16000,51094,11 _ 30 July,United Kingdom,GB,GBR,54,-2,63227526,England,EN,West Germany,DE,Portugal,PT,Soviet Union
1970,16,32,95,Gerd Mueller,10,5,1603975,10000,50127,31 May _ 21 June,Mexico,MX,MEX,23,-102,120847477,Brazil,BR,Italy,IT,West Germany,DE,Uruguay
1974,16,38,97,Grzegorz Lato,7,9,1774022,10000,46685,13 June _ 7 July,Germany,DE,DEU,51,9,81889839,West Germany,DE,Netherlands,NL,Poland,PL,Brazil
1978,16,38,102,Mario Kempes,6,6,1546151,9624,40688,1 _ 25 June,Argentina,AR,ARG,-34,-64,41086927,Argentina,AR,Netherlands,NL,Brazil,BR,Italy
1982,24,52,146,Paolo Rossi,6,17,2109723,11000,40572,13 June _ 11 July?Spain,Spain,ES,ESP,40,-4,46217961,Italy,IT,West Germany,DE,Poland,PL,France
1986,24,52,132,Gary Lineker,6,12,2393031,13800,46020,31 May _ 29 June,Mexico,MX,MEX,23,-102,120847477,Argentina,AR,West Germany,DE,France,FR,Belgium
1990,24,52,115,Salvatore Schillaci,6,12,2516348,27833,48391,8 June _ 8 July?Italy,Italy,IT,ITA,42.8333,12.8333,60917978,West Germany,DE,Argentina,AR,Italy,IT,England
1994,24,52,141,Oleg Salenko,6,9,3587538,50535,68991,17 June _ 17 July,United States of America,US,USA,38,-97,313914040,Brazil,BR,Italy,IT,Sweden,SE,Bulgaria
1998,32,64,171,Davor Suker,6,10,2785100,27650,43517,10 June _ 12 July,France,FR,FRA,46,2,65696689,France,FR,Brazil,BR,Croatia,HR,Netherlands
2002,32,64,161,Ronaldo,8,20,2705197,24000,42269,31 May _ 30 June,Japan,JP,JPN,36,138,127561489,Brazil,BR,Germany,DE,Turkey,TR,South Korea
2002,32,64,161,Ronaldo,8,20,2705197,24000,42269,31 May _ 30 June,South Korea,KR,KOR,37,127.5,50004000,Brazil,BR,Germany,DE,Turkey,TR,South Korea
2006,32,64,147,Miroslav Klose,5,12,3359439,38000,52491,9 June _ 9 July,Germany,DE,DEU,51,9,81889839,Italy,IT,France,FR,Germany,DE,Portugal
2010,32,64,145,Diego Forlan,5,10,3178856,23871,48670,11 June _ 11 July,South Africa,ZA,ZAF,-29,24,51189306.61,Spain,ES,Netherlands,NL,Germany,DE,Uruguay
2014,32,64,171,James Rodriguez,6,12,3429873,37603,74738,12 June_13 July,Brazil,BR,BRA,-10,-55,198656019,Germany,DE,Argentina,AR,Netherlands,NL,Brazil
